carrier_element,block,topology_id,C_e,C_N,C_xi,C_total,A_T,N_obs,N_sim,xi_obs,xi_sim,q_lock
Ac,f,BIN_DIPOLE,0.4669451953797001,0.0,0.0,0.4669451953797001,1.1059228311624476,,,,0.11946745370346319,0.652662731482684
Ac,f,TRI_RING,98.47328244274806,0.0,0.0,98.47328244274806,0.15267175572519084,,,,0.18893490740692637,0.652662731482684
Ac,f,TETRA_PACK,20.879120879120876,0.0,0.0,20.879120879120876,1.3186813186813187,,,,0.25840236111038956,0.652662731482684
Ac,f,PENTA_FLOWER,64.49275362318839,0.0,0.0,64.49275362318839,1.0144927536231882,,,,0.32786981481385274,0.652662731482684
Ac,f,HEPTA_FLOWER,71.42857142857144,0.0,0.0,71.42857142857144,0.9523809523809522,,,,0.39733726851731593,0.652662731482684
Al,p,BIN_DIPOLE,0.4669451953797001,0.0,0.0,0.4669451953797001,1.1059228311624476,,,,0.09906843609672587,0.7546578195163707
Al,p,TRI_RING,98.47328244274806,0.0,0.0,98.47328244274806,0.15267175572519084,,,,0.14813687219345173,0.7546578195163707
Al,p,TETRA_PACK,20.879120879120876,0.0,0.0,20.879120879120876,1.3186813186813187,,,,0.19720530829017757,0.7546578195163707
Al,p,PENTA_FLOWER,64.49275362318839,0.0,0.0,64.49275362318839,1.0144927536231882,,,,0.24627374438690347,0.7546578195163707
Al,p,HEPTA_FLOWER,71.42857142857144,0.0,0.0,71.42857142857144,0.9523809523809522,,,,0.2953421804836293,0.7546578195163707
Au,d,BIN_DIPOLE,498.2305234701401,0.0,0.9436887815529695,498.7023678609166,0.14745637748832638,,,0.5363627317419482,0.05064450541289387,0.9967774729355307
Au,d,TRI_RING,84.35114503816793,0.0,0.9411860588937964,84.82173806761483,2.519083969465649,,,0.5363627317419482,0.05128901082578774,0.9967774729355307
Au,d,TETRA_PACK,407.1428571428571,0.0,0.9386866593324411,407.61220047252334,1.4285714285714288,,,0.5363627317419482,0.051933516238681615,0.9967774729355307
Au,d,PENTA_FLOWER,473.9130434782609,0.0,0.9361905828689037,474.3811387696953,0.8695652173913042,,,0.5363627317419482,0.052578021651575484,0.9967774729355307
Au,d,HEPTA_FLOWER,420.63492063492055,0.0,0.9336978295031845,421.10176954967216,1.587301587301587,,,0.5363627317419482,0.05322252706446935,0.9967774729355307
B,p,BIN_DIPOLE,0.4669451953797001,0.0,0.0,0.4669451953797001,1.1059228311624476,,,,0.07092742976889886,0.8953628511555057
B,p,TRI_RING,98.47328244274806,0.0,0.0,98.47328244274806,0.15267175572519084,,,,0.0918548595377977,0.8953628511555057
B,p,TETRA_PACK,20.879120879120876,0.0,0.0,20.879120879120876,1.3186813186813187,,,,0.11278228930669656,0.8953628511555057
B,p,PENTA_FLOWER,64.49275362318839,0.0,0.0,64.49275362318839,1.0144927536231882,,,,0.13370971907559542,0.8953628511555057
B,p,HEPTA_FLOWER,71.42857142857144,0.0,0.0,71.42857142857144,0.9523809523809522,,,,0.15463714884449425,0.8953628511555057
Ba,s,BIN_DIPOLE,0.4669451953797001,0.0,0.0,0.4669451953797001,1.1059228311624476,,,,0.11577880898438782,0.6711059550780609
Ba,s,TRI_RING,98.47328244274806,0.0,0.0,98.47328244274806,0.15267175572519084,,,,0.18155761796877562,0.6711059550780609
Ba,s,TETRA_PACK,20.879120879120876,0.0,0.0,20.879120879120876,1.3186813186813187,,,,0.24733642695316344,0.6711059550780609
Ba,s,PENTA_FLOWER,64.49275362318839,0.0,0.0,64.49275362318839,1.0144927536231882,,,,0.31311523593755125,0.6711059550780609
Ba,s,HEPTA_FLOWER,71.42857142857144,0.0,0.0,71.42857142857144,0.9523809523809522,,,,0.37889404492193907,0.6711059550780609
Br,p,BIN_DIPOLE,1.8677807815188003,0.0,0.0,1.8677807815188003,2.211845662324895,,,,0.09636879855596976,0.7681560072201512
Br,p,TRI_RING,393.89312977099223,0.0,0.0,393.89312977099223,0.3053435114503817,,,,0.1427375971119395,0.7681560072201512
Br,p,TETRA_PACK,83.5164835164835,0.0,0.0,83.5164835164835,2.6373626373626373,,,,0.18910639566790927,0.7681560072201512
Br,p,PENTA_FLOWER,257.97101449275357,0.0,0.0,257.97101449275357,2.0289855072463765,,,,0.23547519422387903,0.7681560072201512
Br,p,HEPTA_FLOWER,285.7142857142858,0.0,0.0,285.7142857142858,1.9047619047619044,,,,0.2818439927798488,0.7681560072201512
Ca,s,BIN_DIPOLE,0.4669451953797001,0.0,0.0,0.4669451953797001,1.1059228311624476,,,,0.08487310984307084,0.8256344507846458
Ca,s,TRI_RING,98.47328244274806,0.0,0.0,98.47328244274806,0.15267175572519084,,,,0.11974621968614169,0.8256344507846458
Ca,s,TETRA_PACK,20.879120879120876,0.0,0.0,20.879120879120876,1.3186813186813187,,,,0.1546193295292125,0.8256344507846458
Ca,s,PENTA_FLOWER,64.49275362318839,0.0,0.0,64.49275362318839,1.0144927536231882,,,,0.18949243937228338,0.8256344507846458
Ca,s,HEPTA_FLOWER,71.42857142857144,0.0,0.0,71.42857142857144,0.9523809523809522,,,,0.22436554921535418,0.8256344507846458
Cd,d,BIN_DIPOLE,0.4669451953797001,0.0,0.0,0.4669451953797001,1.1059228311624476,,,,0.09334162842495741,0.7832918578752129
Cd,d,TRI_RING,98.47328244274806,0.0,0.0,98.47328244274806,0.15267175572519084,,,,0.13668325684991484,0.7832918578752129
Cd,d,TETRA_PACK,20.879120879120876,0.0,0.0,20.879120879120876,1.3186813186813187,,,,0.18002488527487226,0.7832918578752129
Cd,d,PENTA_FLOWER,64.49275362318839,0.0,0.0,64.49275362318839,1.0144927536231882,,,,0.22336651369982968,0.7832918578752129
Cd,d,HEPTA_FLOWER,71.42857142857144,0.0,0.0,71.42857142857144,0.9523809523809522,,,,0.26670814212478705,0.7832918578752129
Ce,f,BIN_DIPOLE,0.4669451953797001,0.0,0.0,0.4669451953797001,1.1059228311624476,,,,0.11260873153857341,0.686956342307133
Ce,f,TRI_RING,98.47328244274806,0.0,0.0,98.47328244274806,0.15267175572519084,,,,0.1752174630771468,0.686956342307133
Ce,f,TETRA_PACK,20.879120879120876,0.0,0.0,20.879120879120876,1.3186813186813187,,,,0.2378261946157202,0.686956342307133
Ce,f,PENTA_FLOWER,64.49275362318839,0.0,0.0,64.49275362318839,1.0144927536231882,,,,0.3004349261542936,0.686956342307133
Ce,f,HEPTA_FLOWER,71.42857142857144,0.0,0.0,71.42857142857144,0.9523809523809522,,,,0.363043657692867,0.686956342307133
Cr,d,BIN_DIPOLE,0.4669451953797001,0.0,0.0,0.4669451953797001,1.1059228311624476,,,,0.13523456088680774,0.5738271955659613
Cr,d,TRI_RING,98.47328244274806,0.0,0.0,98.47328244274806,0.15267175572519084,,,,0.2204691217736155,0.5738271955659613
Cr,d,TETRA_PACK,20.879120879120876,0.0,0.0,20.879120879120876,1.3186813186813187,,,,0.3057036826604232,0.5738271955659613
Cr,d,PENTA_FLOWER,64.49275362318839,0.0,0.0,64.49275362318839,1.0144927536231882,,,,0.390938243547231,0.5738271955659613
Cr,d,HEPTA_FLOWER,71.42857142857144,0.0,0.0,71.42857142857144,0.9523809523809522,,,,0.4761728044340387,0.5738271955659613
Cu,d,BIN_DIPOLE,194.27992135659866,0.0,0.0,194.27992135659866,0.6144015728680264,,,,0.10666199434358542,0.716690028282073
Cu,d,TRI_RING,221.5648854961832,0.0,0.0,221.5648854961832,0.22900763358778628,,,,0.16332398868717082,0.716690028282073
Cu,d,TETRA_PACK,189.83516483516485,0.0,0.0,189.83516483516485,0.8791208791208791,,,,0.21998598303075623,0.716690028282073
Cu,d,PENTA_FLOWER,72.64492753623188,0.0,0.0,72.64492753623188,2.1014492753623184,,,,0.27664797737434166,0.716690028282073
Cu,d,HEPTA_FLOWER,21.825396825396826,0.0,0.0,21.825396825396826,2.5396825396825395,,,,0.33330997171792703,0.716690028282073
Fe,d,BIN_DIPOLE,0.4669451953797001,0.0,0.5712818717790046,0.7525861312692024,1.1059228311624476,,,0.4396614221398871,0.06174546859366395,0.9412726570316803
Fe,d,TRI_RING,98.47328244274806,0.0,0.5363232962015696,98.74144409084884,0.15267175572519084,,,0.4396614221398871,0.0734909371873279,0.9412726570316803
Fe,d,TETRA_PACK,20.879120879120876,0.0,0.5024683688840128,21.13035506356288,1.3186813186813187,,,0.4396614221398871,0.08523640578099184,0.9412726570316803
Fe,d,PENTA_FLOWER,64.49275362318839,0.0,0.4697170898263339,64.72761216810156,1.0144927536231882,,,0.4396614221398871,0.09698187437465577,0.9412726570316803
Fe,d,HEPTA_FLOWER,71.42857142857144,0.0,0.438069459028533,71.64760615808571,0.9523809523809522,,,0.4396614221398871,0.10872734296831972,0.9412726570316803
Ga,p,BIN_DIPOLE,0.4669451953797001,0.0,0.0,0.4669451953797001,1.1059228311624476,,,,0.06308964188997922,0.934551790550104
Ga,p,TRI_RING,98.47328244274806,0.0,0.0,98.47328244274806,0.15267175572519084,,,,0.07617928377995842,0.934551790550104
Ga,p,TETRA_PACK,20.879120879120876,0.0,0.0,20.879120879120876,1.3186813186813187,,,,0.08926892566993763,0.934551790550104
Ga,p,PENTA_FLOWER,64.49275362318839,0.0,0.0,64.49275362318839,1.0144927536231882,,,,0.10235856755991685,0.934551790550104
Ga,p,HEPTA_FLOWER,71.42857142857144,0.0,0.0,71.42857142857144,0.9523809523809522,,,,0.11544820944989605,0.934551790550104
Ge,p,BIN_DIPOLE,0.4669451953797001,0.0,0.0,0.4669451953797001,1.1059228311624476,,,,0.06580969324872646,0.9209515337563677
Ge,p,TRI_RING,98.47328244274806,0.0,0.0,98.47328244274806,0.15267175572519084,,,,0.0816193864974529,0.9209515337563677
Ge,p,TETRA_PACK,20.879120879120876,0.0,0.0,20.879120879120876,1.3186813186813187,,,,0.09742907974617937,0.9209515337563677
Ge,p,PENTA_FLOWER,64.49275362318839,0.0,0.0,64.49275362318839,1.0144927536231882,,,,0.11323877299490581,0.9209515337563677
Ge,p,HEPTA_FLOWER,71.42857142857144,0.0,0.0,71.42857142857144,0.9523809523809522,,,,0.12904846624363225,0.9209515337563677
Hf,d,BIN_DIPOLE,0.4669451953797001,0.0,0.0,0.4669451953797001,1.1059228311624476,,,,0.12545780161742504,0.6227109919128748
Hf,d,TRI_RING,98.47328244274806,0.0,0.0,98.47328244274806,0.15267175572519084,,,,0.20091560323485008,0.6227109919128748
Hf,d,TETRA_PACK,20.879120879120876,0.0,0.0,20.879120879120876,1.3186813186813187,,,,0.2763734048522751,0.6227109919128748
Hf,d,PENTA_FLOWER,64.49275362318839,0.0,0.0,64.49275362318839,1.0144927536231882,,,,0.3518312064697002,0.6227109919128748
Hf,d,HEPTA_FLOWER,71.42857142857144,0.0,0.0,71.42857142857144,0.9523809523809522,,,,0.42728900808712517,0.6227109919128748
Hg,d,BIN_DIPOLE,0.4669451953797001,0.0,0.0,0.4669451953797001,1.1059228311624476,,,,0.09209879046408745,0.7895060476795628
Hg,d,TRI_RING,98.47328244274806,0.0,0.0,98.47328244274806,0.15267175572519084,,,,0.1341975809281749,0.7895060476795628
Hg,d,TETRA_PACK,20.879120879120876,0.0,0.0,20.879120879120876,1.3186813186813187,,,,0.17629637139226234,0.7895060476795628
Hg,d,PENTA_FLOWER,64.49275362318839,0.0,0.0,64.49275362318839,1.0144927536231882,,,,0.21839516185634977,0.7895060476795628
Hg,d,HEPTA_FLOWER,71.42857142857144,0.0,0.0,71.42857142857144,0.9523809523809522,,,,0.2604939523204372,0.7895060476795628
In,p,BIN_DIPOLE,0.4669451953797001,0.0,0.0,0.4669451953797001,1.1059228311624476,,,,0.08627933456979293,0.8186033271510353
In,p,TRI_RING,98.47328244274806,0.0,0.0,98.47328244274806,0.15267175572519084,,,,0.12255866913958587,0.8186033271510353
In,p,TETRA_PACK,20.879120879120876,0.0,0.0,20.879120879120876,1.3186813186813187,,,,0.15883800370937878,0.8186033271510353
In,p,PENTA_FLOWER,64.49275362318839,0.0,0.0,64.49275362318839,1.0144927536231882,,,,0.19511733827917171,0.8186033271510353
In,p,HEPTA_FLOWER,71.42857142857144,0.0,0.0,71.42857142857144,0.9523809523809522,,,,0.23139667284896465,0.8186033271510353
Ir,d,BIN_DIPOLE,0.4669451953797001,0.0,0.0,0.4669451953797001,1.1059228311624476,,,,0.0757082906953201,0.8714585465233995
Ir,d,TRI_RING,98.47328244274806,0.0,0.0,98.47328244274806,0.15267175572519084,,,,0.1014165813906402,0.8714585465233995
Ir,d,TETRA_PACK,20.879120879120876,0.0,0.0,20.879120879120876,1.3186813186813187,,,,0.1271248720859603,0.8714585465233995
Ir,d,PENTA_FLOWER,64.49275362318839,0.0,0.0,64.49275362318839,1.0144927536231882,,,,0.1528331627812804,0.8714585465233995
Ir,d,HEPTA_FLOWER,71.42857142857144,0.0,0.0,71.42857142857144,0.9523809523809522,,,,0.1785414534766005,0.8714585465233995
La,f,BIN_DIPOLE,0.4669451953797001,0.0,3.121614473659957,2.0277524322096787,1.1059228311624476,,,0.995927960105405,0.11252339909443237,0.6873830045278382
La,f,TRI_RING,98.47328244274806,0.0,2.695383527957796,99.82097420672696,0.15267175572519084,,,0.995927960105405,0.17504679818886476,0.6873830045278382
La,f,TETRA_PACK,20.879120879120876,0.0,2.3004259857302096,22.02933387198598,1.3186813186813187,,,0.995927960105405,0.2375701972832971,0.6873830045278382
La,f,PENTA_FLOWER,64.49275362318839,0.0,1.936741846977196,65.46112454667698,1.0144927536231882,,,0.995927960105405,0.3000935963777295,0.6873830045278382
La,f,HEPTA_FLOWER,71.42857142857144,0.0,1.6043311116987555,72.23073698442083,0.9523809523809522,,,0.995927960105405,0.3626169954721618,0.6873830045278382
Lu,f,BIN_DIPOLE,0.4669451953797001,0.0,0.0,0.4669451953797001,1.1059228311624476,,,,0.09988193416663334,0.7505903291668333
Lu,f,TRI_RING,98.47328244274806,0.0,0.0,98.47328244274806,0.15267175572519084,,,,0.14976386833326666,0.7505903291668333
Lu,f,TETRA_PACK,20.879120879120876,0.0,0.0,20.879120879120876,1.3186813186813187,,,,0.1996458024999,0.7505903291668333
Lu,f,PENTA_FLOWER,64.49275362318839,0.0,0.0,64.49275362318839,1.0144927536231882,,,,0.24952773666653333,0.7505903291668333
Lu,f,HEPTA_FLOWER,71.42857142857144,0.0,0.0,71.42857142857144,0.9523809523809522,,,,0.29940967083316666,0.7505903291668333
Mg,s,BIN_DIPOLE,0.4669451953797001,0.0,4.34276259520545,2.638326492982425,1.1059228311624476,,,1.126971112750853,0.08500631065753746,0.8249684467123127
Mg,s,TRI_RING,98.47328244274806,0.0,4.055861613898472,100.50121324969729,0.15267175572519084,,,1.126971112750853,0.12001262131507491,0.8249684467123127
Mg,s,TETRA_PACK,20.879120879120876,0.0,3.778764166878312,22.76850296256003,1.3186813186813187,,,1.126971112750853,0.15501893197261235,0.8249684467123127
Mg,s,PENTA_FLOWER,64.49275362318839,0.0,3.5114702541449665,66.24848875026088,1.0144927536231882,,,1.126971112750853,0.1900252426301498,0.8249684467123127
Mg,s,HEPTA_FLOWER,71.42857142857144,0.0,3.253979875698439,73.05556136642066,0.9523809523809522,,,1.126971112750853,0.22503155328768726,0.8249684467123127
Mo,d,BIN_DIPOLE,0.4669451953797001,0.0,0.0,0.4669451953797001,1.1059228311624476,,,,0.09435297898569293,0.7782351050715354
Mo,d,TRI_RING,98.47328244274806,0.0,0.0,98.47328244274806,0.15267175572519084,,,,0.13870595797138585,0.7782351050715354
Mo,d,TETRA_PACK,20.879120879120876,0.0,0.0,20.879120879120876,1.3186813186813187,,,,0.18305893695707876,0.7782351050715354
Mo,d,PENTA_FLOWER,64.49275362318839,0.0,0.0,64.49275362318839,1.0144927536231882,,,,0.22741191594277171,0.7782351050715354
Mo,d,HEPTA_FLOWER,71.42857142857144,0.0,0.0,71.42857142857144,0.9523809523809522,,,,0.2717648949284646,0.7782351050715354
Nb,d,BIN_DIPOLE,0.4669451953797001,0.0,4.146952193153319,2.5404212919563594,1.1059228311624476,,,1.0876581669572187,0.06945482366653317,0.9027258816673341
Nb,d,TRI_RING,98.47328244274806,0.0,3.9899944218057435,100.46827965365092,0.15267175572519084,,,1.0876581669572187,0.08890964733306635,0.9027258816673341
