name,category,carrier_element,carrier_block,include_study04,e2,e3,e5,e7,error_flags,warning_flags
(BEDT-TTF)2Cu(NCS)2,SC_Molecular,S,p,0,,,,,,
(BEDT-TTF)2Cu[N(CN)2]Br,SC_Molecular,S,p,0,,,,,,
(BEDT-TTF)2I3,SC_Molecular,S,p,0,,,,,,
(La0.5Y0.5)H8,SC_HighPressure,La,f,1,1.25,0.15,0.2,0.1,,
(La0.925Sr0.075)2CuO4,SC_Oxide,Cu,d,1,0.85,0.06,0.47,0.02,,
(LaY)H10,SC_HighPressure,La,f,1,1.25,0.15,0.2,0.1,,
(LaY)H4,SC_HighPressure,La,f,1,1.25,0.15,0.2,0.1,,
(LaY)H6,SC_HighPressure,La,f,1,1.25,0.15,0.2,0.1,,
(TMTSF)2AsF6,SC_Molecular,Se,p,0,,,,,,
(TMTSF)2ClO4,SC_Molecular,Se,p,0,,,,,,
(TMTSF)2PF6 (under P),SC_Molecular,Se,p,0,,,,,,
1T-TaS2 (pressure 4 GPa),SC_Binary,Ta,d,1,1.18,0.06,0.0,0.12,,
1T'-MoTe2,SC_Binary,Mo,d,1,1.18,0.06,0.0,0.12,,
1T'-WTe2,SC_Binary,W,d,1,1.18,0.06,0.0,0.12,,
2H-NbS2,SC_Binary,Nb,d,1,1.18,0.06,0.0,0.12,,
2H-NbSe2,SC_Binary,Nb,d,1,1.18,0.06,0.0,0.12,,
2H-NbSe2,SC_Binary,Nb,d,1,1.18,0.06,0.0,0.12,,
2H-Pd0.08TaSe2,SC_Binary,Ta,d,1,1.18,0.06,0.0,0.12,,
2H-TaS2,SC_Binary,Ta,d,1,1.18,0.06,0.0,0.12,,
2H-TaS2 (thin 3.5nm),SC_Binary,Ta,d,1,1.18,0.06,0.0,0.12,,
2H-TaSe2,SC_Binary,Ta,d,1,1.18,0.06,0.0,0.12,,
2H-VSe2,SC_Binary,Se,p,1,1.18,0.06,0.0,0.12,,
2M-WS2,SC_Binary,W,d,1,1.18,0.06,0.0,0.12,,
2M-WS2 (thin <20nm),SC_Binary,W,d,1,1.18,0.06,0.0,0.12,,
3R-Ta0.9Mo0.1Se2,SC_Binary,Mo,d,1,1.18,0.06,0.0,0.12,,
3R-Ta0.9W0.1Se2,SC_Binary,W,d,1,1.18,0.06,0.0,0.12,,
4H-NbSe2,SC_Binary,Nb,d,1,1.18,0.06,0.0,0.12,,
4H-TaS2,SC_Binary,Ta,d,1,1.18,0.06,0.0,0.12,,
4Hb-TaS2,SC_Binary,Ta,d,1,1.18,0.06,0.0,0.12,,
AcH10,SC_HighPressure,Ac,f,1,1.25,0.15,0.2,0.1,,
Al,SC_TypeI,Al,p,1,0.75,0.1,0.1,0.05,,
AlH3,SC_HighPressure,Al,p,1,1.25,0.15,0.2,0.1,,
Am,SC_TypeII,Am,f,1,0.13,0.11,0.27,0.49,,WARN_outlier_global_e2;WARN_outlier_global_e7
AsH3,SC_HighPressure,As,p,1,1.25,0.15,0.2,0.1,,
B2H6,SC_HighPressure,B,p,1,1.25,0.15,0.2,0.1,,
Ba(Fe0.8Co0.2)2As2,SC_IronBased,Fe,d,1,0.64,0.27,0.18,0.27,,
Ba(Fe0.8Co0.2)2As2,SC_IronBased,Fe,d,1,0.64,0.27,0.18,0.27,,
Ba(Fe0.9Co0.1)2As2,SC_IronBased,Fe,d,1,0.64,0.27,0.18,0.27,,
Ba(Fe0.9Co0.1)2As2,SC_IronBased,Fe,d,1,0.64,0.27,0.18,0.27,,
Ba0.6K0.4BiO3,SC_Oxide,Bi,p,1,0.64,0.13,0.16,0.07,,
Ba0.6K0.4Fe2As2,SC_IronBased,Fe,d,1,0.64,0.27,0.18,0.27,,
Ba0.6K0.4Fe2As2,SC_IronBased,Fe,d,1,0.64,0.27,0.18,0.27,,
BaC6,SC_Binary,Ba,s,1,1.18,0.06,0.0,0.12,,
BaFe2(As0.67P0.33)2,SC_IronBased,Fe,d,1,0.64,0.27,0.18,0.27,,
BaFe2(As0.67P0.33)2,SC_IronBased,Fe,d,1,0.64,0.27,0.18,0.27,,
BaFe2(As0.7P0.3)2,SC_IronBased,Fe,d,1,0.64,0.27,0.18,0.27,,
BaFe2(As0.7P0.3)2,SC_IronBased,Fe,d,1,0.64,0.27,0.18,0.27,,
BaH12,SC_HighPressure,Ba,s,1,1.25,0.15,0.2,0.1,,
BaH6,SC_HighPressure,Ba,s,1,1.25,0.15,0.2,0.1,,
BaPb0.75Bi0.25O3,SC_Oxide,Bi,p,1,0.65,0.13,0.15,0.07,,
BeAu,SC_TypeI,Au,d,1,1.0,0.0,0.0,0.0,,WARN_outlier_global_e3;WARN_outlier_global_e7
BeAu,SC_TypeI,Au,d,1,1.0,0.0,0.0,0.0,,WARN_outlier_global_e3;WARN_outlier_global_e7
BH,SC_HighPressure,B,p,1,1.25,0.15,0.2,0.1,,
Bi2Sr2Ca2Cu3O10 (Bi-2223),SC_Oxide,Cu,d,1,0.81,0.08,0.49,0.02,,
Bi2Sr2CaCu2O8 (Bi-2212),SC_Oxide,Cu,d,1,0.82,0.08,0.48,0.02,,
Ca10(Pt3As8)(Fe2As2)5,SC_IronBased,Fe,d,1,0.64,0.27,0.18,0.27,,
Ca10(Pt3As8)(Fe2As2)5,SC_IronBased,Fe,d,1,0.64,0.27,0.18,0.27,,
Ca10(Pt3As8)(Fe2As2)5,SC_IronBased,Fe,d,1,0.64,0.27,0.18,0.27,,
Ca10(Pt3As8)(Fe2As2)5,SC_IronBased,Fe,d,1,0.64,0.27,0.18,0.27,,
CaAlSi,SC_Binary,Ca,s,1,1.18,0.06,0.0,0.12,,
CaC6,SC_Binary,Ca,s,1,1.18,0.06,0.0,0.12,,
CaFe0.88Co0.12AsF,SC_IronBased,Fe,d,1,0.64,0.27,0.18,0.27,,
CaFe0.88Co0.12AsF,SC_IronBased,Fe,d,1,0.64,0.27,0.18,0.27,,
CaH10,SC_HighPressure,Ca,s,1,1.25,0.15,0.2,0.1,,
CaH6,SC_HighPressure,Ca,s,1,0.6,0.16,0.18,0.06,,
Cd,SC_TypeI,Cd,d,1,0.38,0.13,0.44,0.05,,
CeCoIn5,SC_HeavyFermion,Ce,f,0,0.0,0.0,0.0,0.0,,
CeCu2Si2,SC_HeavyFermion,Ce,f,0,0.0,0.0,0.0,0.0,,
CeH10,SC_HighPressure,Ce,f,1,1.25,0.15,0.2,0.1,,
CeH9,SC_HighPressure,Ce,f,1,1.25,0.15,0.2,0.1,,
CeIrIn5,SC_HeavyFermion,Ir,d,0,0.0,0.0,0.0,0.0,,
CeRhIn5,SC_HeavyFermion,Ce,f,0,0.0,0.0,0.0,0.0,,
CH4-H2 (clathrate),SC_HighPressure,C,p,1,1.25,0.15,0.2,0.1,,
CoH5,SC_HighPressure,Co,d,1,1.25,0.15,0.2,0.1,,
Cr3Si,SC_Binary,Cr,d,1,1.18,0.06,0.0,0.12,,
CrH6,SC_HighPressure,Cr,d,1,1.25,0.15,0.2,0.1,,
Cs3C60,SC_Molecular,C,p,0,,,,,,
CsC8,SC_Binary,Cs,s,1,1.18,0.06,0.0,0.12,,
CuMo6S8,SC_Binary,Cu,d,1,1.18,0.06,0.0,0.12,,WARN_outlier_vs_carrier_e2;WARN_outlier_vs_carrier_e5;WARN_outlier_vs_carrier_e7;WARN_outlier_vs_carrier_multi
EuMo6S8,SC_Binary,Mo,d,1,1.18,0.06,0.0,0.12,,
FeH5,SC_HighPressure,Fe,d,1,1.25,0.15,0.2,0.1,,WARN_outlier_vs_carrier_e2;WARN_outlier_vs_carrier_e3;WARN_outlier_vs_carrier_multi
FeSe,SC_IronBased,Fe,d,1,0.43,0.16,0.36,0.05,,WARN_outlier_vs_carrier_e5;WARN_outlier_vs_carrier_e7;WARN_outlier_vs_carrier_multi
FeSe,SC_IronBased,Fe,d,1,0.44,0.17,0.34,0.05,,WARN_outlier_vs_carrier_e5;WARN_outlier_vs_carrier_e7;WARN_outlier_vs_carrier_multi
FeSe,SC_IronBased,Fe,d,1,0.45,0.16,0.34,0.05,,WARN_outlier_vs_carrier_e5;WARN_outlier_vs_carrier_e7;WARN_outlier_vs_carrier_multi
FeSe,SC_IronBased,Fe,d,1,0.46,0.15,0.34,0.05,,WARN_outlier_vs_carrier_e3;WARN_outlier_vs_carrier_e5;WARN_outlier_vs_carrier_e7;WARN_outlier_vs_carrier_multi
FeSe (monolayer on STO),SC_IronBased,Fe,d,1,0.64,0.27,0.18,0.27,,
FeSe0.5Te0.5,SC_IronBased,Fe,d,1,0.64,0.27,0.18,0.27,,
FeSe0.7Te0.3,SC_IronBased,Fe,d,1,0.64,0.27,0.18,0.27,,
FeSe1-xSx (x=0.17),SC_IronBased,Fe,d,1,0.64,0.27,0.18,0.27,,
FeTe0.6Se0.4,SC_IronBased,Fe,d,1,0.64,0.27,0.18,0.27,,
FeTe0.6Se0.4,SC_IronBased,Fe,d,1,0.64,0.27,0.18,0.27,,
GaH3,SC_HighPressure,Ga,p,1,1.25,0.15,0.2,0.1,,
GdH9,SC_HighPressure,Gd,f,1,1.25,0.15,0.2,0.1,,
GeH4,SC_HighPressure,Ge,p,1,1.25,0.15,0.2,0.1,,
H3S,SC_HighPressure,S,p,1,1.25,0.15,0.2,0.1,,
H6SBr,SC_HighPressure,Br,p,1,1.25,0.15,0.2,0.1,,
H6SCl,SC_HighPressure,Cl,p,1,1.25,0.15,0.2,0.1,,
Helium-3 (He-3) B-phase,Superfluid,B,p,0,0.0,0.0,0.0,0.0,,
Helium-3 (He-3) B-phase,Superfluid,B,p,0,0.0,0.0,0.0,0.0,,
Helium-4 (He-4),Superfluid,He,s,0,0.0,0.0,0.0,0.0,,
Helium-4 (He-4),Superfluid,He,s,0,0.0,0.0,0.0,0.0,,
Hf,SC_TypeII,Hf,d,1,0.26,0.16,0.51,0.07,,
HfH10,SC_HighPressure,Hf,d,1,1.25,0.15,0.2,0.1,,
Hg,SC_TypeI,Hg,d,1,0.35,0.15,0.4,0.1,,
HgBa2Ca2Cu3O8 (Hg-1223),SC_Oxide,Cu,d,1,0.81,0.08,0.49,0.02,,
In,SC_TypeI,In,p,1,0.72,0.11,0.11,0.06,,
InH3,SC_HighPressure,In,p,1,1.25,0.15,0.2,0.1,,
InH5,SC_HighPressure,In,p,1,1.25,0.15,0.2,0.1,,
Ir,SC_TypeII,Ir,d,1,0.28,0.16,0.5,0.06,,
IrO2,SC_Binary,Ir,d,1,1.18,0.06,0.0,0.12,,
K3C60,SC_Molecular,C,p,0,,,,,,
KC8,SC_Binary,K,s,1,1.18,0.06,0.0,0.12,,
KFe2As2,SC_IronBased,Fe,d,1,0.64,0.27,0.18,0.27,,
La,SC_TypeI,La,f,1,0.25,0.16,0.38,0.21,,WARN_outlier_vs_carrier_e2;WARN_outlier_vs_carrier_e3;WARN_outlier_vs_carrier_e5;WARN_outlier_vs_carrier_e7;WARN_outlier_vs_carrier_multi
La2-xBaxCuO4 (x~0.125),SC_Oxide,Cu,d,1,0.85,0.06,0.47,0.02,,
La2-xSrxCuO4 (LSCO x~0.15),SC_Oxide,Cu,d,1,0.85,0.06,0.47,0.02,,
LaB2,SC_Binary,La,f,1,0.32,0.15,0.36,0.17,,WARN_outlier_vs_carrier_e2
LaBeH8,SC_HighPressure,La,f,1,1.25,0.15,0.2,0.1,,
LaCeH18,SC_HighPressure,Ce,f,1,1.25,0.15,0.2,0.1,,
LaFeAsO0.9F0.1,SC_IronBased,Fe,d,1,0.64,0.27,0.18,0.27,,
LaFeAsO0.9F0.1,SC_IronBased,Fe,d,1,0.64,0.27,0.18,0.27,,
LaH10,SC_HighPressure,La,f,1,1.25,0.15,0.2,0.1,,
LaH10,SC_HighPressure,La,f,1,1.25,0.15,0.2,0.1,,
LaH10,SC_HighPressure,La,f,1,1.25,0.15,0.2,0.1,,
LaH8,SC_HighPressure,La,f,1,1.25,0.15,0.2,0.1,,
LaO0.9F0.1FeAs,SC_IronBased,Fe,d,1,0.64,0.27,0.18,0.27,,
LaO0.9F0.1FeAs,SC_IronBased,Fe,d,1,0.64,0.27,0.18,0.27,,
LaPt2Si2,SC_Binary,Pt,d,1,1.18,0.06,0.0,0.12,,
LaPt2Si2,SC_Binary,Pt,d,1,1.18,0.06,0.0,0.12,,
LaSc2H24,SC_HighPressure,La,f,1,1.25,0.15,0.2,0.1,,
LaSr2H18,SC_HighPressure,La,f,1,1.25,0.15,0.2,0.1,,
LaSr3H24,SC_HighPressure,La,f,1,1.25,0.15,0.2,0.1,,
LaSrH12,SC_HighPressure,La,f,1,1.25,0.15,0.2,0.1,,
LaSrH21,SC_HighPressure,La,f,1,1.25,0.15,0.2,0.1,,
LaThH12,SC_HighPressure,Th,f,1,1.25,0.15,0.2,0.1,,
LaYH20,SC_HighPressure,La,f,1,1.25,0.15,0.2,0.1,,
Li2MgH16,SC_HighPressure,Mg,s,1,1.25,0.15,0.2,0.1,,
LiFeAs,SC_IronBased,Fe,d,1,0.64,0.27,0.18,0.27,,
LiFeAs,SC_IronBased,Fe,d,1,0.64,0.27,0.18,0.27,,
LuB12,SC_Binary,Lu,f,1,1.18,0.06,0.0,0.12,,
LuH3,SC_HighPressure,Lu,f,1,1.25,0.15,0.2,0.1,,
MgB2,SC_Binary,Mg,s,1,0.55,0.18,0.2,0.07,,
MgB2,SC_Binary,Mg,s,1,0.55,0.18,0.2,0.07,,
MgCNi3,SC_Binary,Ni,d,1,1.18,0.06,0.0,0.12,,
MgH12,SC_HighPressure,Mg,s,1,1.25,0.15,0.2,0.1,,
MgH6,SC_HighPressure,Mg,s,1,1.25,0.15,0.2,0.1,,
MnH8,SC_HighPressure,Mn,d,1,1.25,0.15,0.2,0.1,,
Mo,SC_TypeII,Mo,d,1,0.26,0.15,0.52,0.07,,WARN_outlier_global_e5
Mo3Al,SC_Binary,Mo,d,1,1.18,0.06,0.0,0.12,,
Mo3Si,SC_Binary,Mo,d,1,1.18,0.06,0.0,0.12,,
MoC,SC_Binary,Mo,d,1,0.3,0.16,0.48,0.06,,
MoH11,SC_HighPressure,Mo,d,1,1.25,0.15,0.2,0.1,,
MoRe,SC_Binary,Re,d,1,1.18,0.06,0.0,0.12,,
Na2CsC60,SC_Molecular,C,p,0,,,,,,
NaAlSi,SC_Binary,Si,p,1,1.18,0.06,0.0,0.12,,
Nb,SC_TypeII,Nb,d,1,0.28,0.14,0.5,0.08,,WARN_outlier_vs_carrier_e2;WARN_outlier_vs_carrier_e3;WARN_outlier_vs_carrier_e5;WARN_outlier_vs_carrier_multi
Nb2PdS5,SC_Binary,Nb,d,1,1.18,0.06,0.0,0.12,,
Nb2PdS5,SC_Binary,Nb,d,1,1.18,0.06,0.0,0.12,,
Nb3Al,SC_Binary,Nb,d,1,1.18,0.06,0.0,0.12,,
Nb3Al,SC_Binary,Nb,d,1,1.18,0.06,0.0,0.12,,
Nb3Au,SC_Binary,Nb,d,1,1.18,0.06,0.0,0.12,,
Nb3Ge,SC_Binary,Nb,d,1,1.18,0.06,0.0,0.12,,
Nb3Ge,SC_Binary,Nb,d,1,1.18,0.06,0.0,0.12,,
Nb3Sb,SC_Binary,Nb,d,1,1.18,0.06,0.0,0.12,,
Nb3Sn,SC_Binary,Nb,d,1,1.18,0.06,0.0,0.12,,
Nb3Sn,SC_Binary,Nb,d,1,1.18,0.06,0.0,0.12,,
NbN,SC_TypeII,Nb,d,1,0.32,0.15,0.47,0.06,,WARN_outlier_vs_carrier_e2;WARN_outlier_vs_carrier_e3;WARN_outlier_vs_carrier_e5;WARN_outlier_vs_carrier_e7;WARN_outlier_vs_carrier_multi
NbSe2 (monolayer),SC_Binary,Nb,d,1,1.18,0.06,0.0,0.12,,
NbTi,SC_Binary,Nb,d,1,1.18,0.06,0.0,0.12,,
NbZr,SC_Binary,Nb,d,1,1.18,0.06,0.0,0.12,,
Nd1.85Ce0.15CuO4,SC_Oxide,Cu,d,1,0.84,0.07,0.47,0.02,,
Nd2-xCexCuO4 (NCCO),SC_Oxide,Cu,d,1,0.84,0.07,0.47,0.02,,
NdFeAsO0.9F0.1,SC_IronBased,Fe,d,1,0.64,0.27,0.18,0.27,,
NdH9,SC_HighPressure,Nd,f,1,1.25,0.15,0.2,0.1,,
NiH4,SC_HighPressure,Ni,d,1,1.25,0.15,0.2,0.1,,
NiMo6S8,SC_Binary,Ni,d,1,1.18,0.06,0.0,0.12,,
NpPd5Al2,SC_HeavyFermion,Pd,d,0,0.0,0.0,0.0,0.0,,
Os,SC_TypeII,Os,d,1,0.28,0.16,0.5,0.06,,
Pa,SC_TypeII,Pa,f,1,0.16,0.13,0.28,0.43,,WARN_outlier_global_e2;WARN_outlier_global_e7
Pb,SC_TypeI,Pb,p,1,0.68,0.14,0.12,0.06,,
PbMo6S8,SC_Binary,Mo,d,1,1.18,0.06,0.0,0.12,,
PbMo6Se8,SC_Binary,Mo,d,1,1.18,0.06,0.0,0.12,,
Pr2-xCexCuO4 (PCCO),SC_Oxide,Cu,d,1,0.84,0.07,0.47,0.02,,
PrFeAsO0.9F0.1,SC_IronBased,Fe,d,1,0.64,0.27,0.18,0.27,,
PrH10,SC_HighPressure,Pr,f,1,1.25,0.15,0.2,0.1,,
PrH9,SC_HighPressure,Pr,f,1,1.25,0.15,0.2,0.1,,
PuCoGa5,SC_HeavyFermion,Ga,p,0,0.0,0.0,0.0,0.0,,
PuRhGa5,SC_HeavyFermion,Rh,d,0,0.0,0.0,0.0,0.0,,
Rb3C60,SC_Molecular,C,p,0,,,,,,
RbC8,SC_Binary,Rb,s,1,1.18,0.06,0.0,0.12,,
Re,SC_TypeII,Re,d,1,0.27,0.16,0.51,0.06,,
Rh,SC_TypeII,Rh,d,1,0.29,0.16,0.49,0.06,,
Ru,SC_TypeII,Ru,d,1,0.29,0.16,0.49,0.06,,
RuO2,SC_Binary,Ru,d,1,1.18,0.06,0.0,0.12,,
ScH12,SC_HighPressure,Sc,d,1,1.25,0.15,0.2,0.1,,
ScH3,SC_HighPressure,Sc,d,1,1.25,0.15,0.2,0.1,,
ScH6,SC_HighPressure,Sc,d,1,1.25,0.15,0.2,0.1,,
ScZrH12,SC_HighPressure,Zr,d,1,1.25,0.15,0.2,0.1,,
SeH2,SC_HighPressure,Se,p,1,1.25,0.15,0.2,0.1,,
SH3 (Cmca),SC_HighPressure,S,p,1,1.25,0.15,0.2,0.1,,
Si2H6,SC_HighPressure,Si,p,1,1.25,0.15,0.2,0.1,,
SmFeAsO0.9F0.1,SC_IronBased,Fe,d,1,0.64,0.27,0.18,0.27,,
SmH9,SC_HighPressure,Sm,f,1,1.25,0.15,0.2,0.1,,
Sn,SC_TypeI,Sn,p,1,0.7,0.12,0.12,0.06,,
SnMo6S8,SC_Binary,Mo,d,1,1.18,0.06,0.0,0.12,,
Sr2RuO4,SC_Oxide,Ru,d,1,0.32,0.16,0.46,0.06,,
SrAlSi,SC_Binary,Sr,s,1,1.18,0.06,0.0,0.12,,
SrC6,SC_Binary,Sr,s,1,1.18,0.06,0.0,0.12,,
SrH10,SC_HighPressure,Sr,s,1,1.25,0.15,0.2,0.1,,
SrH22,SC_HighPressure,Sr,s,1,1.25,0.15,0.2,0.1,,
SrH6,SC_HighPressure,Sr,s,1,1.25,0.15,0.2,0.1,,
SrTiO3-doped,SC_Oxide,Sr,s,1,0.68,0.14,0.12,0.06,,
Ta,SC_TypeII,Ta,d,1,0.27,0.15,0.51,0.07,,
TaC,SC_Binary,Ta,d,1,0.28,0.15,0.5,0.07,,
TaH6,SC_HighPressure,Ta,d,1,1.25,0.15,0.2,0.1,,
TbH9,SC_HighPressure,Tb,f,1,1.25,0.15,0.2,0.1,,
Tc,SC_TypeII,Tc,d,1,0.28,0.15,0.5,0.07,,
Th,SC_TypeI,Th,f,1,0.2,0.14,0.32,0.34,,WARN_ambiguous_dominant_prime
Th4H15,SC_HighPressure,Th,f,1,1.25,0.15,0.2,0.1,,
ThH10,SC_HighPressure,Th,f,1,1.25,0.15,0.2,0.1,,
ThH9,SC_HighPressure,Th,f,1,1.25,0.15,0.2,0.1,,
Ti,SC_TypeI,Ti,d,1,1.0,0.0,0.0,0.0,,WARN_outlier_global_e3;WARN_outlier_global_e7
TiN,SC_Binary,Ti,d,1,0.28,0.15,0.5,0.07,,
Tl,SC_TypeI,Tl,p,1,0.69,0.13,0.12,0.06,,
Tl2Ba2Ca2Cu3O10 (Tl-2223),SC_Oxide,Cu,d,1,0.8,0.09,0.49,0.02,,
U (alpha),SC_TypeII,U,f,1,0.18,0.13,0.33,0.36,,WARN_ambiguous_dominant_prime;WARN_outlier_global_e2;WARN_outlier_global_e7
UH7,SC_HighPressure,U,f,1,1.25,0.15,0.2,0.1,,
UPt3,SC_HeavyFermion,Pt,d,0,0.0,0.0,0.0,0.0,,
URu2Si2,SC_HeavyFermion,U,f,0,0.0,0.0,0.0,0.0,,
V,SC_TypeII,V,d,1,0.3,0.16,0.48,0.06,,
V3Ga,SC_Binary,V,d,1,1.18,0.06,0.0,0.12,,
V3Si,SC_Binary,V,d,1,1.18,0.06,0.0,0.12,,
V3Si,SC_Binary,V,d,1,1.18,0.06,0.0,0.12,,
YbC6,SC_Binary,Yb,f,1,1.18,0.06,0.0,0.12,,
YC2,SC_Binary,Y,d,1,1.18,0.06,0.0,0.12,,
YCaH18,SC_HighPressure,Y,d,1,1.25,0.15,0.2,0.1,,
YH10,SC_HighPressure,Y,d,1,1.25,0.15,0.2,0.1,,
YH4,SC_HighPressure,Y,d,1,1.25,0.15,0.2,0.1,,
YH6,SC_HighPressure,Y,d,1,1.25,0.15,0.2,0.1,,
YH9,SC_HighPressure,Y,d,1,1.25,0.15,0.2,0.1,,
YHfH12,SC_HighPressure,Hf,d,1,1.25,0.15,0.2,0.1,,
Zn,SC_TypeI,Zn,d,1,0.35,0.13,0.47,0.05,,
Zr,SC_TypeII,Zr,d,1,0.27,0.16,0.5,0.07,,
ZrB12,SC_Binary,Zr,d,1,1.18,0.06,0.0,0.12,,
ZrH10,SC_HighPressure,Zr,d,1,1.25,0.15,0.2,0.1,,
ZrN,SC_Binary,Zr,d,1,0.27,0.16,0.49,0.08,,
